Saggio;EsitoSaggio;Molecola;Fonte;Note
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;ACIDO ASCORBICO;DAZEBAO;
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;ACIDO CITRICO;SCHEDE;
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;ACIDO TARTARICO;SCHEDE;
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;CALCIO GLICEROFOSFATO;;
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;CLORBUTANOLO;DAZEBAO;
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;FRUTTOSIO;SCHEDE;
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;IDROCLOROTIAZIDE;DAZEBAO;
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;LATTOSIO;DAZEBAO;
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;MANNITOLO;SCHEDE;
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;NICOTINAMIDE;;
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;PROCAINAMMIDE HCl;SCHEDE;
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;SACCARINA SODICA;SCHEDE;
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;SACCAROSIO;DAZEBAO;
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;SODIO ACETATO;SCHEDE;ROSSO LIMPIDO
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;SODIO CITRATO;SCHEDE;
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;SUCRALOSIO;SCHEDE;
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;SULFAGUANIDINA;DAZEBAO;
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;TIAMINA HCl;SCHEDE;
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);NEGATIVO;TIMOLO;;NO COLORAZIONE CARATTERISTICA
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);POSITIVO;ACIDO ACETILSALICILICO;SCHEDE;VIOLA INTENSO. DOPO IDROLISI
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);POSITIVO;ACIDO BENZOICO;SCHEDE;PPT ROSA CARNE
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);POSITIVO;ACIDO NICOTINICO;DAZEBAO;COLORAZIONE RAME, MA SENZA PPT
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);POSITIVO;ACIDO TANNICO;DAZEBAO;COLORAZIONE BLU-SCURO O NERO
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);POSITIVO;FENAZONE;;ROSSO SANGUE
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);POSITIVO;FENILEFRINA HCl;SCHEDE;VIOLA
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);POSITIVO;FENOLO;SCHEDE;VIOLA
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);POSITIVO;METILPARABEN;SCHEDE;
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);POSITIVO;PARACETAMOLO;SCHEDE;BLU MOLTO SCURO
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);POSITIVO;PIRIDOSSINA HCl;DAZEBAO;COLORAZIONE ROSSA MOLTO INTENSA, DECOLORAZIONE IN SEGUITO AD AGGIUNTA ACIDO
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);POSITIVO;PROPILPARABEN;DAZEBAO;COLORAZIONE BRUNA
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);POSITIVO;SODIO BENZOATO;DAZEBAO;PPT ROSA CARNE
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);POSITIVO;SODIO P-AMMINO SALICILATO;DAZEBAO;COLORAZIONE ROSSO SANGUE-BRUNA
FeCl3 (ALCOLI AROMATICI, AA, SALICILATI, …);POSITIVO;SODIO SALICILATO;DAZEBAO;COLORAZIONE VIOLA PERSISTENTE
FeCl3 + HCl o H2SO4 (FENAZONE E PROPIFENAZONE);NEGATIVO;NICOTINAMIDE;SCHEDE;
FeCl3 + HCl o H2SO4 (FENAZONE E PROPIFENAZONE);POSITIVO;FENAZONE;DAZEBAO;LA COLORAZIONE RESTA ARANCIONE MOLTO CHIARO
FeCl3 + HCl o H2SO4 (FENAZONE E PROPIFENAZONE);POSITIVO;PROPIFENAZONE;SCHEDE;ROSSO MATTONE POI GIALLO
FeCl3-CONC (BENZOATI & SALICILATI);NEGATIVO;ACIDO SORBICO;SCHEDE;
FeCl3-CONC (BENZOATI & SALICILATI);NEGATIVO;DESAMETASONE SODIO FOSFATO;SCHEDE;
FeCl3-CONC (BENZOATI & SALICILATI);NEGATIVO;FRUTTOSIO;SCHEDE;
FeCl3-CONC (BENZOATI & SALICILATI);NEGATIVO;MANNITOLO;SCHEDE;
FeCl3-CONC (BENZOATI & SALICILATI);NEGATIVO;SODIO CITRATO;SCHEDE;
FeCl3-CONC (BENZOATI & SALICILATI);POSITIVO;ACIDO SALICILICO;SCHEDE;
FeCl3-CONC (BENZOATI & SALICILATI);POSITIVO;SODIO BENZOATO;SCHEDE;PPT ROSA
FeCl3-CONC (BENZOATI & SALICILATI);POSITIVO;SODIO P-AMMINO SALICILATO;SCHEDE;
FeCl3-CONC (BENZOATI & SALICILATI);POSITIVO;SODIO SALICILATO;SCHEDE;
OSSIDAZIONE FEHLING;NEGATIVO;ACIDO ASCORBICO;DAZEBAO;SOLUZIONE MARRONE-ARANCIONE, PPT GIALLO-MARRONE (NON ROSSO-MATTONE)
OSSIDAZIONE FEHLING;NEGATIVO;ACIDO CITRICO;SCHEDE;
OSSIDAZIONE FEHLING;NEGATIVO;ACIDO TARTARICO;SCHEDE;
OSSIDAZIONE FEHLING;NEGATIVO;CALCIO GLICEROFOSFATO;;
OSSIDAZIONE FEHLING;NEGATIVO;PARACETAMOLO;SCHEDE;
OSSIDAZIONE FEHLING;NEGATIVO;PIRIDOSSINA HCl;SCHEDE;
OSSIDAZIONE FEHLING;NEGATIVO;PROCAINAMMIDE HCl;SCHEDE;
OSSIDAZIONE FEHLING;POSITIVO;CLORBUTANOLO;DAZEBAO;
OSSIDAZIONE FEHLING;POSITIVO;FRUTTOSIO;SCHEDE;PPT ROSSO
OSSIDAZIONE FEHLING;POSITIVO;ISONIAZIDE;;COLOR RAME
OSSIDAZIONE FEHLING;POSITIVO;LATTOSIO;DAZEBAO;COLORAZIONE ROSSA CON PPT
OSSIDAZIONE FEHLING;POSITIVO;MANNITOLO;DAZEBAO;POSITIVO SOLO DOPO H2O2. ROSSO-MATTONE
OSSIDAZIONE FEHLING;POSITIVO;SACCAROSIO;DAZEBAO;POSITIVO SOLO DOPO IDROLISI (PPT ROSSO)
OSSIDAZIONE FEHLING;POSITIVO;SORBITOLO;SCHEDE;POSITIVO SOLO DOPO H2O2. ROSSO SCURO
OSSIDAZIONE FEHLING;POSITIVO;SUCRALOSIO;SCHEDE;PPT ROSSO DOPO IDROLISI
FENTON: FeSO4 + H2O2 (TARTRATI);NEGATIVO;MANNITOLO;SCHEDE;
