Saggio;EsitoSaggio;Molecola;Fonte;Note
FENTON: FeSO4 + H2O2 (TARTRATI);NEGATIVO;POTASSIO SORBATO;SCHEDE;
FENTON: FeSO4 + H2O2 (TARTRATI);NEGATIVO;SODIO ACETATO;SCHEDE;
FENTON: FeSO4 + H2O2 (TARTRATI);NEGATIVO;SODIO CITRATO;SCHEDE;VERDE SCURO
FENTON: FeSO4 + H2O2 (TARTRATI);NEGATIVO;SUCRALOSIO;SCHEDE;
FENTON: FeSO4 + H2O2 (TARTRATI);POSITIVO;ACIDO TARTARICO;SCHEDE;
FENTON: FeSO4 + H2O2 (TARTRATI);POSITIVO;POTASSIO TARTRATO;DAZEBAO;ALL'AGGIUNTA DI H2O2 SI FORMA UN ANELLO MARRONCINO, SOPRA GIALLO. MESCOLANDO LA SOLUZIONE E' TUTTA GIALLA. ALL'AGGIUNTA DI NAOH SI HA COLORAZIONE VIOLA
FeSO4 & H2SO4 (NITRATI);NEGATIVO;ACIDO NICOTINICO;SCHEDE;
FeSO4 & H2SO4 (NITRATI);NEGATIVO;BENZOCAINA;SCHEDE;
FeSO4 & H2SO4 (NITRATI);NEGATIVO;CAFFEINA;DAZEBAO;
FeSO4 & H2SO4 (NITRATI);NEGATIVO;CALCIO PANTOTENATO;SCHEDE;
FeSO4 & H2SO4 (NITRATI);NEGATIVO;FENAZONE;SCHEDE;
FeSO4 & H2SO4 (NITRATI);NEGATIVO;FENILALANINA;SCHEDE;
FeSO4 & H2SO4 (NITRATI);NEGATIVO;METFORMINA HCl;;
FeSO4 & H2SO4 (NITRATI);NEGATIVO;NICOTINAMIDE;SCHEDE;
FeSO4 & H2SO4 (NITRATI);NEGATIVO;PROCAINA HCl;;
FeSO4 & H2SO4 (NITRATI);NEGATIVO;PROPIFENAZONE;SCHEDE;
FeSO4 & H2SO4 (NITRATI);POSITIVO;ECONAZOLO NITRATO;SCHEDE;ANELLO BRUNO
FILO Ni-Cr;NEGATIVO;ACIDO ASCORBICO;DAZEBAO;
FILO Ni-Cr;NEGATIVO;ACIDO CITRICO;SCHEDE;
FILO Ni-Cr;NEGATIVO;ACIDO NICOTINICO;DAZEBAO;
FILO Ni-Cr;NEGATIVO;ACIDO TARTARICO;SCHEDE;
FILO Ni-Cr;NEGATIVO;CLORBUTANOLO;SCHEDE;
FILO Ni-Cr;NEGATIVO;FRUTTOSIO;SCHEDE;
FILO Ni-Cr;NEGATIVO;FTALILSULFATIAZOLO;SCHEDE;
FILO Ni-Cr;NEGATIVO;LATTOSIO;SCHEDE;
FILO Ni-Cr;NEGATIVO;LIDOCAINA HCl;SCHEDE;
FILO Ni-Cr;NEGATIVO;MAGNESIO ASPARTATO;SCHEDE;
FILO Ni-Cr;NEGATIVO;MAGNESIO LATTATO;;
FILO Ni-Cr;NEGATIVO;PROPILPARABEN;SCHEDE;
FILO Ni-Cr;NEGATIVO;SUCRALOSIO;SCHEDE;
FILO Ni-Cr;NEGATIVO;SULFATIAZOLO;SCHEDE;
FILO Ni-Cr;NEGATIVO;TEOBROMINA;SCHEDE;
FILO Ni-Cr;POSITIVO;CALCIO GLICEROFOSFATO;SCHEDE;ARANCIO-ROSSO
FILO Ni-Cr;POSITIVO;CALCIO LATTATO;SCHEDE;ROSSO-MATTONE
FILO Ni-Cr;POSITIVO;CALCIO PANTOTENATO;SCHEDE;ROSSO-MATTONE
FILO Ni-Cr;POSITIVO;CLORAMINA T;;FIAMMA ARANCIONE PERSISTENTE
FILO Ni-Cr;POSITIVO;DESAMETASONE SODIO FOSFATO;SCHEDE;FIAMMA ARANCIONE PERSISTENTE
FILO Ni-Cr;POSITIVO;LITIO CITRATO;SCHEDE;ROSSO CARMINIO
FILO Ni-Cr;POSITIVO;POTASSIO ASPARTATO;;FIAMMA VIOLETTA
FILO Ni-Cr;POSITIVO;POTASSIO SORBATO;DAZEBAO;VIOLA
FILO Ni-Cr;POSITIVO;POTASSIO TARTRATO;DAZEBAO;VIOLA
FILO Ni-Cr;POSITIVO;SACCARINA SODICA;DAZEBAO;FIAMMA ARANCIONE PERSISTENTE
FILO Ni-Cr;POSITIVO;SODIO ACETATO;SCHEDE;GIALLO-ARANCIO PERSISTENTE
FILO Ni-Cr;POSITIVO;SODIO ASCORBATO;;GIALLO-ARANCIO
FILO Ni-Cr;POSITIVO;SODIO BENZOATO;SCHEDE;FIAMMA ARANCIONE PERSISTENTE
FILO Ni-Cr;POSITIVO;SODIO CITRATO;SCHEDE;GIALLO INTENSO - ARANCIONE
FILO Ni-Cr;POSITIVO;SODIO P-AMMINO SALICILATO;SCHEDE;FIAMMA GIALLO-ARANCIONE PERSISTENTE
FILO Ni-Cr;POSITIVO;SODIO SALICILATO;DAZEBAO;FIAMMA ARANCIONE PERSISTENTE
GIBBS (PIRIDOSSINA);NEGATIVO;NICOTINAMIDE;SCHEDE;DA VERIFICARE
GIBBS (PIRIDOSSINA);POSITIVO;PIRIDOSSINA HCl;DAZEBAO;COLORAZIONE VERDE-BLU
GRANDEZZE FISICHE (PUNTO FUSIONE);NEGATIVO;CALCIO GLICEROFOSFATO;;NON DETERMINATO (> 300°C)
GRANDEZZE FISICHE (PUNTO FUSIONE);NEGATIVO;TEOBROMINA;DAZEBAO;ENTRO 300°C NON FONDE
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;ACETILCISTEINA;;106-108
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;ACIDO ACETILSALICILICO;SCHEDE;135-140
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;ACIDO ASCORBICO;SCHEDE;195-210 d
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;ACIDO BENZOICO;SCHEDE;125
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;ACIDO CITRICO;SCHEDE;"160; 157-160"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;ACIDO NICOTINICO;DAZEBAO;"235-240; 237; 240; 243"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;ACIDO SALICILICO;SCHEDE;163
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;ACIDO SORBICO;SCHEDE;136
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;ACIDO TARTARICO;DAZEBAO;INIZIA A FONDERE A 160°C
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;BENZOCAINA;DAZEBAO;"90; 92; 90-93"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;CAFFEINA;SCHEDE;"235; 240; 239-242"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;CALCIO PANTOTENATO;SCHEDE;175-180 d
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;CHINIDINA SOLFATO;SCHEDE;"INIZIA A FONDERE A 200; IMBRUNIMENTO"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;CHININA HCl;SCHEDE;115
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;CHININA SOLFATO;DAZEBAO;230°C
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;CISTEINA HCl;SCHEDE;"100; 123; 130"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;CLORALIO IDRATO;SCHEDE;"57; 60-65"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;CLORBUTANOLO;DAZEBAO;"80; 90; 95"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;CLORPROMAZINA HCl;DAZEBAO;"192; 195;196 d; 198"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;DAPSONE;DAZEBAO;"180; 180-183; 185"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;DIFENIDRAMINA HCl;SCHEDE;160-170
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;ECONAZOLO NITRATO;SCHEDE;165
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;EFEDRINA HCl;SCHEDE;220
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;FENAZONE;DAZEBAO;"107; 110; 110-120"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;FENILALANINA;SCHEDE;"280; 283; 290; IMBRUNIMENTO A 200"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;FENILEFRINA HCl;;165
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;FENOLO;SCHEDE;47
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;FRUTTOSIO;SCHEDE;"122; 125; 130"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;FTALILSULFATIAZOLO;DAZEBAO;"260; 270; 272 d; 275 d"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;FUROSEMIDE;DAZEBAO;INTERVALLO FUSIONE: 205-213°C CON DECOMPOSIZIONE
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;GLICINA;;230
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;GLUCOSIO;;130-145
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;IDROCLOROTIAZIDE;DAZEBAO;"270; 260-280°C CON DECOMPOSIZIONE (IMBRUNIMENTO)"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;IDROCORTISONE;DAZEBAO;INTERVALLO FUSIONE: 219-220°C
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;IDROCORTISONE ACETATO;SCHEDE;220 d
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;IMIPRAMINA HCl;;175
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;INDOMETACINA;SCHEDE;160-164
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;ISONIAZIDE;;177
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;LATTOSIO;SCHEDE;"220; 223; 220-225"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;LEUCINA;;286
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;LIDOCAINA HCl;DAZEBAO;"75; 76; 78; 80"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;LISINA HCl;DAZEBAO;INIZIALE IMBRUNIMENTO SEGUITO DA FUSIONE A 260°C
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;MAGNESIO LATTATO;;44
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;MANNITOLO;SCHEDE;"160-170; 170; 175; 170-180"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;METFORMINA HCl;;"225; 233"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;METILPARABEN;SCHEDE;"125; 128-135"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;METRONIDAZOLO;;165
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;NICLOSAMIDE;SCHEDE;228-233
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;NICOTINAMIDE;DAZEBAO;"120; 130; 130-135"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;PAPAVERINA HCl;DAZEBAO;229-235
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;PARACETAMOLO;SCHEDE;180
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;PIRIDOSSINA HCl;DAZEBAO;207°C. IMBRUNISCE
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;PREDNISONE;SCHEDE;230-235
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;PROBENECID;;197-202
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;PROCAINA HCl;;155-160
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;PROCAINAMMIDE HCl;SCHEDE;180
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;PROGESTERONE;SCHEDE;130
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;PROMETAZINA HCl;SCHEDE;"223 d; 220-225; 230 d (GIALLO-MARRONE)"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;PROPIFENAZONE;SCHEDE;"102-106; 107"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;PROPILPARABEN;SCHEDE;95-100
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;SACCARINA;SCHEDE;230
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;SACCAROSIO;DAZEBAO;"185; 200"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;SCOPOLAMINA HBr;;190
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;SERINA;;215
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;SODIO CITRATO;SCHEDE;>300
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;SODIO P-AMMINO SALICILATO;SCHEDE;180 d (MARRONE)
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;SODIO SALICILATO;SCHEDE;200
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;SORBITOLO;SCHEDE;"90-95; 105"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;SPIRONOLATTONE;SCHEDE;"205; 207"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;SUCRALOSIO;DAZEBAO;"130; 140; 140-145"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;SULFADIAZINA;SCHEDE;"225; 235 d (MARRONE); 250"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;SULFAGUANIDINA;DAZEBAO;"193; 195"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;SULFAMERAZINA;DAZEBAO;"234 d GIALLO; 236; 239 d GIALLO"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;SULFAMETOSSIPIRIDAZINA;SCHEDE;181. LIQUIDO COLORAZIONE GIALLA
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;SULFANILAMIDE;;162-166
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;SULFATIAZOLO;DAZEBAO;"195; 200-205; 203-206; 205-215 d (MARRONE)"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;TEOFILLINA;;"272; 274-275; 277"
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;TIAMINA HCl;DAZEBAO;FONDE A 250°C CON DECOMPOSIZIONE: DIVENTA GIALLO OCRA E MARRONE
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;TIMOLO;;51
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;TOLBUTAMIDE;;128
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;TREONINA;;292
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;TRIPTOFANO;;290-295d (IMBRUNIMENTO)
GRANDEZZE FISICHE (PUNTO FUSIONE);POSITIVO;VANILLINA;SCHEDE;147 MA IN F.U. RIPORTATO 81-84
H2SO4 & DILUIZIONE H2O (STEROIDI);POSITIVO;CORTISONE ACETATO;DAZEBAO;VERDE IN FLUORESCENZA
H2SO4 & DILUIZIONE H2O (STEROIDI);POSITIVO;IDROCORTISONE;DAZEBAO;FLUORESCENZA VERDE
H2SO4 & DILUIZIONE H2O (STEROIDI);POSITIVO;IDROCORTISONE ACETATO;SCHEDE;FLUORESCENZA VERDE
H2SO4 & DILUIZIONE H2O (STEROIDI);POSITIVO;PREDNISONE;SCHEDE;ROSSO-BRUNO PPT VERDE SCURO
H2SO4 & DILUIZIONE H2O (STEROIDI);POSITIVO;PROGESTERONE;SCHEDE;FLUORESCENZA
H2SO4 & DILUIZIONE H2O (STEROIDI);POSITIVO;SPIRONOLATTONE;SCHEDE;FLUORESCENZA
NaNO2 + H2SO4 (FENAZONE);POSITIVO;FENAZONE;DAZEBAO;COLORAZIONE AZZURRO-VERDE
H2SO4-DIL + FLUORESCENZA (ALC CHINOLINICI);POSITIVO;CHINIDINA SOLFATO;DAZEBAO;FLUORESCENZA AZZURRA CHE SPARISCE DOPO AGGIUNTA HCL-DIL
H2SO4-DIL + FLUORESCENZA (ALC CHINOLINICI);POSITIVO;CHININA HCl;SCHEDE;
H2SO4-DIL + FLUORESCENZA (ALC CHINOLINICI);POSITIVO;CHININA SOLFATO;SCHEDE;
HCl + BaCl2 (SOLFATI);NEGATIVO;SULFAGUANIDINA;;
HCl + BaCl2 (SOLFATI);POSITIVO;CHINIDINA SOLFATO;DAZEBAO;FORMAZIONE PPT BIANCO
MOLIBDICO & NH4OH (FOSFATI);POSITIVO;CALCIO GLICEROFOSFATO;SCHEDE;
HNO3-CONC (FENOTIAZINE);NEGATIVO;SACCARINA SODICA;SCHEDE;
HNO3-CONC (FENOTIAZINE);POSITIVO;CLORPROMAZINA HCl;DAZEBAO;COLORAZIONE ROSSA CON PPT
HNO3-CONC (FENOTIAZINE);POSITIVO;IMIPRAMINA HCl;;COLORAZIONE BLU
HNO3-CONC (FENOTIAZINE);POSITIVO;PROMETAZINA HCl;SCHEDE;ROSSO
HNO3 + AgNO3 (ACIDO ASCORBICO);POSITIVO;ACIDO ASCORBICO;DAZEBAO;
HNO3 + AgNO3 (ACIDO ASCORBICO);POSITIVO;SODIO ASCORBATO;;PPT GRIGIO ARGENTO
IDROSSILAMMINA (ESTERI & AMMIDI);NEGATIVO;FTALILSULFATIAZOLO;SCHEDE;
IDROSSILAMMINA (ESTERI & AMMIDI);POSITIVO;INDOMETACINA;SCHEDE;VIOLA INTENSO
IDROSSILAMMINA (ESTERI & AMMIDI);POSITIVO;NICOTINAMIDE;SCHEDE;
IDROSSILAMMINA (ESTERI & AMMIDI);POSITIVO;PROPILPARABEN;DAZEBAO;INTENSA COLORAZIONE VIOLA
IDROSSILAMMINA (ESTERI & AMMIDI);POSITIVO;TOLBUTAMIDE;;
OSSIDAZIONE KMnO4;NEGATIVO;ACIDO TANNICO;DAZEBAO;COLRAZIONE GIALLINA, NON DECOLORA
OSSIDAZIONE KMnO4;NEGATIVO;POTASSIO TARTRATO;SCHEDE;
OSSIDAZIONE KMnO4;POSITIVO;CHINIDINA SOLFATO;SCHEDE;
OSSIDAZIONE KMnO4;POSITIVO;POTASSIO SORBATO;DAZEBAO;DECOLORAZIONE E FORMAZIONE PPT MARRONE
LASSAIGNE:ALOGENI;NEGATIVO;ACIDO ACETILSALICILICO;SCHEDE;
LASSAIGNE:ALOGENI;NEGATIVO;ACIDO CITRICO;SCHEDE;
LASSAIGNE:ALOGENI;NEGATIVO;ACIDO SALICILICO;SCHEDE;
LASSAIGNE:ALOGENI;NEGATIVO;CALCIO GLICEROFOSFATO;SCHEDE;
LASSAIGNE:ALOGENI;NEGATIVO;CALCIO LATTATO;SCHEDE;
LASSAIGNE:ALOGENI;NEGATIVO;FENOLO;SCHEDE;
LASSAIGNE:ALOGENI;NEGATIVO;FRUTTOSIO;SCHEDE;
LASSAIGNE:ALOGENI;NEGATIVO;LATTOSIO;SCHEDE;
LASSAIGNE:ALOGENI;NEGATIVO;LITIO CITRATO;SCHEDE;
LASSAIGNE:ALOGENI;NEGATIVO;MAGNESIO LATTATO;;
LASSAIGNE:ALOGENI;NEGATIVO;MANNITOLO;SCHEDE;
LASSAIGNE:ALOGENI;NEGATIVO;METILPARABEN;SCHEDE;
LASSAIGNE:ALOGENI;NEGATIVO;POTASSIO SORBATO;SCHEDE;
LASSAIGNE:ALOGENI;NEGATIVO;POTASSIO TARTRATO;SCHEDE;
LASSAIGNE:ALOGENI;NEGATIVO;PREDNISONE;SCHEDE;
LASSAIGNE:ALOGENI;NEGATIVO;PROPILPARABEN;SCHEDE;
LASSAIGNE:ALOGENI;NEGATIVO;SODIO ASCORBATO;;
LASSAIGNE:ALOGENI;NEGATIVO;SODIO CITRATO;SCHEDE;
LASSAIGNE:ALOGENI;NEGATIVO;SODIO SALICILATO;SCHEDE;
LASSAIGNE:ALOGENI;NEGATIVO;SORBITOLO;SCHEDE;
LASSAIGNE:ALOGENI;NEGATIVO;TIMOLO;;
LASSAIGNE:ALOGENI;POSITIVO;CLORALIO IDRATO;SCHEDE;
LASSAIGNE:ALOGENI;POSITIVO;CLORBUTANOLO;SCHEDE;
LASSAIGNE:ALOGENI;POSITIVO;SUCRALOSIO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;ACIDO ACETILSALICILICO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;ACIDO ASCORBICO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;ACIDO BENZOICO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;ACIDO CITRICO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;ACIDO SALICILICO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;ACIDO SORBICO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;ACIDO TANNICO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;CALCIO GLICEROFOSFATO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;CALCIO LATTATO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;CLORALIO IDRATO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;CLORBUTANOLO;DAZEBAO;
LASSAIGNE:AZOTO;NEGATIVO;FENOLO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;FRUTTOSIO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;IDROCORTISONE;DAZEBAO;
LASSAIGNE:AZOTO;NEGATIVO;IDROCORTISONE ACETATO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;LATTOSIO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;LITIO CITRATO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;MAGNESIO LATTATO;;
LASSAIGNE:AZOTO;NEGATIVO;MANNITOLO;DAZEBAO;
LASSAIGNE:AZOTO;NEGATIVO;METILPARABEN;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;POTASSIO SORBATO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;POTASSIO TARTRATO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;PREDNISONE;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;PROPILPARABEN;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;SODIO ASCORBATO;;
LASSAIGNE:AZOTO;NEGATIVO;SODIO CITRATO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;SODIO SALICILATO;DAZEBAO;
LASSAIGNE:AZOTO;NEGATIVO;SORBITOLO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;SPIRONOLATTONE;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;SUCRALOSIO;SCHEDE;
LASSAIGNE:AZOTO;NEGATIVO;TIMOLO;;
LASSAIGNE:AZOTO;POSITIVO;ACETILCISTEINA;;
LASSAIGNE:AZOTO;POSITIVO;ACIDO NICOTINICO;DAZEBAO;SOLO ALLA FINE SAGGIO POSITIVO, DOPO AGGIUNTA FESO4 SOLUZIONE GIALLA E NON VERDE
LASSAIGNE:AZOTO;POSITIVO;ASPARTAME;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;BENZOCAINA;DAZEBAO;
LASSAIGNE:AZOTO;POSITIVO;CAFFEINA;DAZEBAO;
LASSAIGNE:AZOTO;POSITIVO;CAPTOPRIL;;
LASSAIGNE:AZOTO;POSITIVO;CHINIDINA SOLFATO;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;CHININA SOLFATO;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;CISTEINA HCl;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;CLORAMINA T;;
LASSAIGNE:AZOTO;POSITIVO;CLORPROMAZINA HCl;DAZEBAO;
LASSAIGNE:AZOTO;POSITIVO;DAPSONE;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;DIFENIDRAMINA HCl;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;ECONAZOLO NITRATO;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;EFEDRINA HCl;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;FENAZONE;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;FENILALANINA;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;FENILEFRINA HCl;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;FTALILSULFATIAZOLO;DAZEBAO;
LASSAIGNE:AZOTO;POSITIVO;FUROSEMIDE;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;IDROCLOROTIAZIDE;DAZEBAO;
LASSAIGNE:AZOTO;POSITIVO;INDOMETACINA;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;ISONIAZIDE;;
LASSAIGNE:AZOTO;POSITIVO;LEUCINA;;
LASSAIGNE:AZOTO;POSITIVO;LIDOCAINA HCl;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;MAGNESIO ASPARTATO;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;METFORMINA HCl;;
LASSAIGNE:AZOTO;POSITIVO;METIONINA;;
LASSAIGNE:AZOTO;POSITIVO;METRONIDAZOLO;;
LASSAIGNE:AZOTO;POSITIVO;NICOTINAMIDE;DAZEBAO;
LASSAIGNE:AZOTO;POSITIVO;PIRIDOSSINA HCl;;
LASSAIGNE:AZOTO;POSITIVO;POTASSIO ASPARTATO;;
LASSAIGNE:AZOTO;POSITIVO;PROCAINA HCl;;
LASSAIGNE:AZOTO;POSITIVO;PROCAINAMMIDE HCl;;
LASSAIGNE:AZOTO;POSITIVO;PROLINA;;
LASSAIGNE:AZOTO;POSITIVO;PROMETAZINA HCl;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;PROPIFENAZONE;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;SACCARINA;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;SACCARINA SODICA;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;SCOPOLAMINA HBr;;
LASSAIGNE:AZOTO;POSITIVO;SERINA;;
LASSAIGNE:AZOTO;POSITIVO;SODIO P-AMMINO SALICILATO;DAZEBAO;
LASSAIGNE:AZOTO;POSITIVO;SULFADIAZINA;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;SULFAGUANIDINA;DAZEBAO;
LASSAIGNE:AZOTO;POSITIVO;SULFAMERAZINA;SCHEDE;
LASSAIGNE:AZOTO;POSITIVO;SULFANILAMIDE;;
LASSAIGNE:AZOTO;POSITIVO;SULFATIAZOLO;DAZEBAO;
LASSAIGNE:AZOTO;POSITIVO;TEOBROMINA;DAZEBAO;
LASSAIGNE:AZOTO;POSITIVO;TEOFILLINA;;
LASSAIGNE:AZOTO;POSITIVO;TOLBUTAMIDE;;
LASSAIGNE:AZOTO;POSITIVO;TREONINA;;
LASSAIGNE:AZOTO;POSITIVO;TRIPTOFANO;;
LASSAIGNE:FOSFORO;NEGATIVO;IDROCORTISONE ACETATO;SCHEDE;
LASSAIGNE:FOSFORO;NEGATIVO;MAGNESIO ASPARTATO;SCHEDE;
LASSAIGNE:FOSFORO;NEGATIVO;SACCARINA SODICA;SCHEDE;
LASSAIGNE:FOSFORO;NEGATIVO;SODIO CITRATO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;ACIDO ACETILSALICILICO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;ACIDO ASCORBICO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;ACIDO BENZOICO;SCHEDE;
LASSAIGNE:ZOLFO;NEGATIVO;ACIDO CITRICO;SCHEDE;
