PAPAVERINA HCl,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC.Cl
PARACETAMOLO,CC(=O)NC1=CC=C(C=C1)O
PIRIDOSSINA HCl,CC1=NC=C(C(=C1O)CO)CO.Cl
POTASSIO ASPARTATO,[H+].[H+].C([C@@H](C(=O)[O-])N)C(=O)[O-].C([C@@H](C(=O)[O-])N)C(=O)[O-].O.[K+].[K+]
POTASSIO CITRATO,[C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O].[K+].[K+].[K+]
POTASSIO SORBATO,C=CC=CC(=O)[O-].[K+]
POTASSIO TARTRATO,C(C(C(=O)[O-])O)C(=O)O.[K+]
PREDNISONE,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C
PROBENECID,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O
PROCAINA HCl,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.Cl
PROCAINAMMIDE HCl,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl
PROGESTERONE,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
PROLINA,C1C[C@H](NC1)C(=O)O
PROMETAZINA HCl,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl
PROPIFENAZONE,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)C(C)C
PROPILPARABEN,CCCOC(=O)C1=CC=C(C=C1)O
SACCARINA,C1=CC=C2C(=C1)C(=O)NS2(=O)=O
SACCARINA SODICA,C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]
SACCAROSIO,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O
SCOPOLAMINA HBr,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4.O.O.O.Br
SERINA,C([C@@H](C(=O)O)N)O
SODIO ACETATO,CC(=O)[O-].[Na+]
SODIO ASCORBATO,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.[Na+]
SODIO BENZOATO,C1=CC=C(C=C1)C(=O)[O-].[Na+]
SODIO CITRATO,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+]
SODIO P-AMMINO SALICILATO,C1=CC(=C(C=C1N)O)C(=O)[O-].[Na+]
SODIO SALICILATO,C1=CC=C(C(=C1)C(=O)[O-])O.[Na+]
SORBITOLO,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O
SPIRONOLATTONE,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C
SUCRALOSIO,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CCl)O)O)CCl)O)O)Cl)O
SULFADIAZINA,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N
SULFAGUANIDINA,C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N
SULFAMERAZINA,CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)N
SULFAMETOSSIPIRIDAZINA,COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N
SULFANILAMIDE,C1=CC(=CC=C1N)S(=O)(=O)N
SULFATIAZOLO,C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2
TEOBROMINA,CN1C=NC2=C1C(=O)NC(=O)N2C
TEOFILLINA,CN1C2=C(C(=O)N(C1=O)C)NC=N2
TIAMINA HCl,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.Cl
TIMOLO,CC(C)(C)NC[C@@H](COC1=NSN=C1N2CCOCC2)O
TOLBUTAMIDE,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C
TREONINA,C[C@H]([C@@H](C(=O)O)N)O
TRIPTOFANO,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N
VALINA,CC(C)[C@@H](C(=O)O)N
VANILLINA,COC1=C(C=CC(=C1)C=O)O
