Molecola;SMILES;OSSIDAZIONE ACQUA DI BROMO
SPIRONOLATTONE;CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C;
SUCRALOSIO;C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CCl)O)O)CCl)O)O)Cl)O;
SULFADIAZINA;C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N;0
SULFAGUANIDINA;C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N;1
SULFAMERAZINA;CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)N;
SULFAMETOSSIPIRIDAZINA;COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N;
SULFANILAMIDE;C1=CC(=CC=C1N)S(=O)(=O)N;
SULFATIAZOLO;C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2;
TEOBROMINA;CN1C=NC2=C1C(=O)NC(=O)N2C;1
TEOFILLINA;CN1C2=C(C(=O)N(C1=O)C)NC=N2;1
TIAMINA HCl;CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.Cl;1
TIMOLO;CC(C)(C)NC[C@@H](COC1=NSN=C1N2CCOCC2)O;
TOLBUTAMIDE;CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C;
TREONINA;C[C@H]([C@@H](C(=O)O)N)O;
TRIPTOFANO;C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N;
VALINA;CC(C)[C@@H](C(=O)O)N;
VANILLINA;COC1=C(C=CC(=C1)C=O)O;1
ACETAZOLAMIDE;CC(=O)NC1=NN=C(S1)S(=O)(=O)N;1
ACIDO ASPARTICO;C([C@@H](C(=O)O)N)C(=O)O;1
AMBROXOLO;C1=C(C(=C(C=C1Br)Br)N)CNC2CCC(CC2)O;0
POTASSIO ACETATO;CC(=O)[O-].[K+];0
FERRO GLUCONATO;C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Fe+2];0
DESTROMETORFANO;CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC;1
ARGININA;C(C[C@@H](C(=O)O)N)CN=C(N)N;1
CIMETIDINA;CC1=C(N=CN1)CSCCNC(=NC)NC#N;1
PROPILTIOURACILE;CCCC1=CC(=O)NC(=S)N1;1
PIPERAZINA ESAIDRATA;C1CNCCN1;1
PREDNISOLONE ACETATO;CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)O)C)O;1
