id;nome saggio;descrizione;img;molecola interessata;rif saggio temp;visualizza grafico
38;HNO3 + AgNO3 (ACIDO ASCORBICO);;;;38;0
37;HNO3-CONC (FENOTIAZINE);SOTTO CAPPA, OCCHIALI DI PROTEZIONE. Preparare una soluzione della sostanza, sciogliendo circa 20-50 mg di sostanza in circa 1 ml di acqua. Aggiungere, goccia a goccia, circa 1 ml di acido nitrico concentrato (HNO3). Il saggio è positivo se si forma un precipitato che si scioglie, dando luogo ad una colorazione rossa che vira all’arancio e poi al giallo, con contemporanea formazione di un ppt rosso-arancio. Note: i) Anche per Imipramina cloridrato il saggio è positivo, ma con intensa colorazione blu.;;;37;1
39;IDROSSILAMMINA (ESTERI & AMMIDI);"Preparare una soluzione della sostanza, sciogliendo circa 30 mg di sostanza nel minor volume possibile di acqua o etanolo. Aggiungere 0,5 ml del reattivo della soluzione acquosa (7%) di idrossilammina cloridrato (anche chiamato cloruro di idrossilammonio, cioè un sale composto da NH3OH+ e Cl-), e qualche ml di idrossido di sodio diluito (NaOH 2N), fino ad avere un viraggio alcalino (controllare mediante cartina tornasole, e poi aggiungere 3 gocce di NaOH in eccesso). Scaldare a b.m. per 2 minuti e poi lasciare raffreddare. Aggiungere quindi acido cloridrico 6N, goccia a goccia, fino ad ottenere pH=3. Aggiungere quindi 2-3 gocce di una soluzione acquosa (8%) di cloruro di ferro (FeCl3). L’idrossilammina (ottenuta dall’equilibrio con l’idrossilammonio) agisce come nucleofilo, attaccando il carbonile, formando un derivato capace di formare un complesso con lo ione Fe3+. Il saggio è positivo se si ottiene una colorazione, che può variare a seconda della sostanza in esame da rosso-bruna fino a viola intenso. Note: i) Si tratta di un saggio molto sensibile al pH. ii) Danno saggio positivo molte sostanze che reagiscono con FeCl3. iii) Tra le sostanze con gruppo ammidico che danno saggio positivo vi sono il Calcio pantotenato (generalmente si ottiene una colorazione rossa ma sono stati osservati anche colori più scuri), l’Indometacina (viola), la Nicotinammide e le penicilline; queste ultime però non vengono studiate perché possibili causa di allergie. Altre sostanze con gruppo ammidico che non studieremo sono i barbiturici.";saggio_idrossilammina.png;;39;1
41;LASSAIGNE:ALOGENI;Da eseguire solo se N e S assenti: aggiungere HNO3 2N fino a pH = 0 (cartina tornasole rossa) e successivamente AgNO3 al 4%. Si osserva un ppt caseoso, il cui colore dipende dall’alogenuro coinvolto. In presenza di N o S: Lavorando sotto cappa, ad una aliquota della soluzione alcalina di Lassaigne aggiungere una pari quantità di acido nitrico HNO3 concentrato e porre la provetta a bagno maria per qualche minuto, in modo che possano liberarsi i gas corrispondenti (acido cianidrico, HCN) e acido solfidrico (H2S). Si procede poi come descritto in precedenza.;;;41;1
42;LASSAIGNE:AZOTO;"Per confermare l’identità dell’alogenuro, effettuare il test di solubilità con idrossido d’ammonio (NH4OH): aggiungere NH4OH diluito, ed osservare il comportamento; successivamente aggiungere NH4OH concentrato ed osservare il comportamento";;;42;1
43;LASSAIGNE:FOSFORO;"Tra i medicinali disponibili in laboratorio contenenti fosforo, tutte hanno il fosforo nel gruppo fosfato; è quindi preferibile eseguire i saggi direttamente sulla sostanza in esame per i fosfati inorganici, e non sulla soluzione alcalina di Lassaigne.";;;43;1
44;LASSAIGNE:ZOLFO;Alcuni ml di soluzione di Lassaigne (1-2 ml) vengono trattati con un cristallino di Na-Nitroprussiato. Il saggio è positivo se si sviluppa un’intensa colorazione rosso-violetta (anche se a volte tende a scomparire).;;;44;1
45;LIEBERMANN (FENOLI p-LIBERA);SOTTO CAPPA, CON OCCHIALI DI PROTEZIONE! Preparare il reattivo di Liebermann sciogliendo 20 mg di nitrito di sodio (NaNO2) in circa 1 ml di acido solforico diluito (H2SO4 2N). Preparare una soluzione acquosa della sostanza in esame, sciogliendo circa 20 mg di sostanza in circa 1-2 ml di H2O. Aggiungere 2-3 gocce del reattivo appena preparato. In presenza di un derivato fenolico, con posizione para libera, si forma il corrispondente derivato dell’indofenolo (l’indofenolo è un indicatore di pH, rosso a pH acido e blu a pH basico). Il saggio quindi è positivo se si ottiene una colorazione rosso-bruna.;saggio_liebermann.png;;45;1
47;MILLON (FENOLI p-OCCUPATA);Preparare una soluzione della sostanza, sciogliendo circa 50 mg di sostanza in circa 2 ml di etanolo. Aggiungere 2 ml del reattivo di Millon. In presenza di un derivato fenolico, con posizione para occupata, si forma un precipitato giallo. Il saggio è positivo se, in seguito a riscaldamento a b.m., la soluzione si colora di rosso-viola. Inizialmente, la presenza nel reattivo dello ione nitrosonio causa la formazione di un nitroso-derivato, con il gruppo -N=O in posizione orto (essendo la para occupata). Grazie alla vicinanza dei due atomi di ossigeno la molecola può così interagire con gli ioni Hg2+ presenti nel reattivo di Millon, formando il complesso responsabile del colore rosso. Note: i) Si nota bene dopo raffreddamento. ii) Attenzione alla temperatura del b.m., che non sia troppo alta. iii) La vanillina dà reazione più lenta e può anche non formarsi la colorazione rossa;saggio_millon.png;;47;1
48;MOHLER (LATTATI E TARTRATI);SOTTO CAPPA, OCCHIALI DI PROTEZIONE. Prendere la capsula di porcellana e mettervi circa 20 mg di sostanza con circa 100 mg di resorcina. Aggiungere 1-2 ml di acido solforico concentrato (H2SO4) e scaldare alla fiamma diretta (bunsen). Il saggio è positivo se si ottiene una colorazione rosso intenso.;saggio_mohler.png;;48;1
36;MOLIBDICO & NH4OH (FOSFATI);Sciogliere circa 20 mg di sostanza in circa 1 ml di H2O (o in HCl diluito 2N) ed aggiungere circa 2 ml di reattivo molibdico, scaldando a lungo a b.m. Il saggio è positivo se si forma un precipitato giallo, che si scioglie aggiungendo idrossido d’ammonio diluito (NH4OH 2N). Note: Per fosfati organici (per esempio Calcio glicerofosfato) è necessaria una breve idrolisi di sostanza in pochi ml di acido nitrico (HNO3) concentrato a caldo (b.m. per 1 min), per poi eseguire il saggio sulla soluzione con il reattivo molibdico.;;;36;1
49;MOLISCH (CARBOIDRATI);SOTTO CAPPA, OCCHIALI DI PROTEZIONE e GUANTI. Preparare una soluzione acquosa della sostanza, sciogliendo circa 50 mg in 2 ml. Aggiungere 2 gocce di reattivo di Molisch (α-naftolo) e successivamente 2 ml di acido solforico concentrato (H2SO4), facendolo scendere lentamente lungo le pareti della provetta, in modo che stratifichi sul fondo. Il saggio è positivo se all’interfaccia si forma un anello di colorazione viola o verde.;saggio_molish.png;;49;1
50;MURESSIDE (XANTINE);"SOTTO CAPPA, OCCHIALI DI PROTEZIONE. Prendere la capsula di porcellana e mettervi circa 2-5 mg di sostanza con 1-2 gocce di acqua ossigenata al 30% (H2O2 30%) e 2-3 gocce di acido cloridrico diluito (HCl 2N). Scaldare alla fiamma diretta (bunsen), e dopo evaporazione, in presenza di xantine, si ottiene un residuo rosso-giallastro (formazione dell’alloxantina; già indice di saggio positivo). Dopo raffreddamento aggiungere in capsula qualche goccia di idrossido di ammonio diluito (NH4OH 2N); il saggio si conferma positivo se si ottiene una colorazione intensa rosso-porpora (muresside o porporato d’ammonio). Note: i) Mescolare con la bacchetta di vetro (sotto cappa, facendo attenzione a non carbonizzare) per eliminare i fumi. ii) Si tratta di una reazione di ossidazione e condensazione, con distruzione dell’anello imidazolico. iii) La muresside corrisponde al prodotto che si ottiene partendo dalla xantina (nessun N-CH3).";saggio_muresside.png;;50;1
33;NaNO2 + H2SO4 (FENAZONE);Preparare una soluzione sciogliendo circa 20 mg di sostanza in 4 ml di acqua. Aggiungere poche gocce di acido solforico diluito (H2SO4 2N) ed 1 ml di soluzione acquosa (10%) di nitrito di sodio (NaNO2), preparata al momento. Il saggio è positivo se si sviluppa una intensa colorazione verde scuro.;;;33;1
51;NH4OH & Na2HPO4 (MAGNESIO);Sciogliere circa 20 mg di sostanza in circa 2 ml di H2O (o di HNO3 2N, neutralizzato fino a pH=7 mediante NaOH 2N). Aggiungere (circa) 1-2 ml di NH4OH 6N. In presenza di Magnesio si ha la formazione dell’idrossido di magnesio, Mg(OH)2, riconoscibile come precipitato gelatinoso bianco. Poiché in soluzione è presente anche lo ione NH4+, in seguito ad aggiunta di NH4Cl 10% l’equilibrio si sposta e il precipitato si scioglie. Aggiungere 1-2 ml di sodio fosfato acido (9% acq.), Na2HPO4. Il saggio è positivo se si forma un precipitato bianco cristallino di fosfato ammonio-magnesiaco (NH4)MgPO4;;;51;1
